day,month,year,last_3digit_2,last_2digit_down
13,6,2562,200,72
12,6,2562,972,56
11,6,2562,428,86
10,6,2562,442,71
7,6,2562,471,67
6,6,2562,404,06
5,6,2562,610,56
4,6,2562,854,34
3,6,2562,088,31
31,5,2562,119,34
30,5,2562,253,84
29,5,2562,337,77
28,5,2562,014,56
27,5,2562,258,36
24,5,2562,722,92
23,5,2562,114,23
22,5,2562,337,92
21,5,2562,245,28
20,5,2562,173,64
17,5,2562,009,11
16,5,2562,298,58
15,5,2562,856,33
14,5,2562,723,05
13,5,2562,128,64
10,5,2562,492,21
9,5,2562,213,46
8,5,2562,259,13
7,5,2562,372,01
26,4,2562,873,85
25,4,2562,758,58
24,4,2562,000,74
23,4,2562,974,84
22,4,2562,790,34
19,4,2562,056,44
18,4,2562,012,85
17,4,2562,797,31
16,4,2562,166,55
15,4,2562,911,55
12,4,2562,056,18
11,4,2562,138,81
10,4,2562,757,02
9,4,2562,259,94
8,4,2562,165,85
5,4,2562,750,55
4,4,2562,495,74
3,4,2562,321,90
2,4,2562,531,72
1,4,2562,903,22
29,3,2562,581,05
28,3,2562,376,97
27,3,2562,873,66
26,3,2562,839,28
25,3,2562,711,23
22,3,2562,734,42
20,3,2562,892,07
19,3,2562,685,65
18,3,2562,450,65
15,3,2562,085,83
14,3,2562,702,22
13,3,2562,024,45
12,3,2562,369,60
11,3,2562,509,53
8,3,2562,556,45
7,3,2562,601,80
6,3,2562,681,47
5,3,2562,628,76
