day,month,year,last_3digit_2,last_2digit_down
13,6,2562,825,47
12,6,2562,336,08
11,6,2562,809,67
10,6,2562,138,67
7,6,2562,890,86
6,6,2562,246,36
5,6,2562,064,10
4,6,2562,502,86
3,6,2562,176,43
31,5,2562,076,77
30,5,2562,491,46
29,5,2562,072,42
28,5,2562,246,88
27,5,2562,180,58
24,5,2562,447,67
23,5,2562,787,50
22,5,2562,405,60
21,5,2562,862,11
20,5,2562,784,75
17,5,2562,153,55
16,5,2562,561,95
15,5,2562,124,99
14,5,2562,692,36
13,5,2562,771,21
10,5,2562,572,59
9,5,2562,413,46
8,5,2562,426,46
7,5,2562,737,36
26,4,2562,524,34
25,4,2562,099,99
24,4,2562,442,32
23,4,2562,541,49
22,4,2562,100,44
19,4,2562,341,29
18,4,2562,273,24
17,4,2562,932,66
16,4,2562,822,11
15,4,2562,071,15
12,4,2562,190,52
11,4,2562,787,70
10,4,2562,916,43
9,4,2562,219,46
8,4,2562,934,16
5,4,2562,437,42
4,4,2562,885,64
3,4,2562,978,47
2,4,2562,483,80
1,4,2562,944,63
29,3,2562,293,17
28,3,2562,994,79
27,3,2562,773,66
26,3,2562,260,49
25,3,2562,027,07
22,3,2562,309,83
20,3,2562,363,78
19,3,2562,838,12
18,3,2562,966,81
15,3,2562,473,71
14,3,2562,128,04
13,3,2562,978,91
12,3,2562,161,52
11,3,2562,993,37
8,3,2562,275,26
7,3,2562,050,31
6,3,2562,310,18
5,3,2562,006,98
